student_rno,student_password,student_name,student_gender,student_dob,student_email,student_contact,year_of_enrollment,student_current_year,student_cpi,student_incentive_points,department_id,program_id,allocated_jaf,allocation_timestamp
210000038,WyIuu4yr3559maDJ,Vasundhara Agrahari,F,1996-08-12 00:00:00,vasundhara.agrahari39@iitb.ac.in,8014093521,2021,2,7.46,28,6,8,NULL,NULL
190000039,266KYpPzNrVW3KX8,Asad Israni,M,2000-08-23 00:00:00,asad.israni96@iitb.ac.in,8307403427,2019,4,7.52,4,6,3,NULL,NULL
190000040,SsSuFoNOE9yNXpYy,Deepak Saini,M,2001-02-20 00:00:00,deepak.saini93@iitb.ac.in,8386555257,2019,4,7.79,2,7,4,NULL,NULL
210000041,q5j0V5h0SQyjt9RP,Aamra Kulkarni,M,1996-05-13 00:00:00,aamra.kulkarni81@iitb.ac.in,8199040628,2021,2,7.78,22,6,9,NULL,NULL
210000042,F4A35XaxAmbPCE2y,Chhavi Bharadwaj,M,1997-09-13 00:00:00,chhavi.bharadwaj64@iitb.ac.in,8692905977,2021,2,8.94,12,10,6,NULL,NULL
210000043,lX56zGBYtYmMlNkI,Monish Parul,F,1993-10-09 00:00:00,monish.parul10@iitb.ac.in,7821489529,2021,2,9.22,4,16,8,NULL,NULL
190000044,SXL6b9Nk1G6xMXqP,Garv Chauhan,F,1999-08-15 00:00:00,garv.chauhan52@iitb.ac.in,7883441595,2019,4,6.33,20,23,4,NULL,NULL
180000045,H0CdqhNXWcxPiT4h,Suryansh Shankdhar,F,2001-03-17 00:00:00,suryansh.shankdhar6@iitb.ac.in,7631232661,2018,5,9.22,16,10,2,NULL,NULL
210000046,upN8b0c6wwAHzM0R,Shreyaansh Macharla,M,1997-03-26 00:00:00,shreyaansh.macharla83@iitb.ac.in,9267175735,2021,2,9.27,18,16,10,NULL,NULL
210000047,oBiusNtauWgQmgxC,Deepa Soni,F,1995-12-24 00:00:00,deepa.soni77@iitb.ac.in,8343705596,2021,2,7.04,8,14,6,NULL,NULL
210000048,KGV09AeGuNS0dlix,Inderveer Asija,F,1994-06-08 00:00:00,inderveer.asija92@iitb.ac.in,9788457247,2021,2,9.62,6,21,9,NULL,NULL
190000049,mpupejEIGc9iAwW9,Ramkrishna Sutariya,M,2001-05-28 00:00:00,ramkrishna.sutariya84@iitb.ac.in,9490171685,2019,4,6.69,2,24,1,NULL,NULL
210000050,uezCkyTr9qPknnVl,Shakkil Kansal,F,1997-04-05 00:00:00,shakkil.kansal31@iitb.ac.in,9363016459,2021,2,9.14,2,12,5,NULL,NULL
180000051,skkCvwFCI4dDpLQP,Shubhkarman Guha,M,2001-05-24 00:00:00,shubhkarman.guha76@iitb.ac.in,9288881883,2018,5,6.53,24,24,2,NULL,NULL
210000052,vVVGCJyRTuvzsXpg,Kaustubh Kaur,M,1994-01-15 00:00:00,kaustubh.kaur76@iitb.ac.in,9137968142,2021,2,7.67,12,2,10,NULL,NULL
210000053,8zn3waz2iyqIzUjT,Manu Porwal,F,1997-05-10 00:00:00,manu.porwal64@iitb.ac.in,7088675909,2021,2,7.97,2,17,6,NULL,NULL
210000054,zSCKU0lkGllMPct0,Davneet Mukhopadhyay,F,1994-07-01 00:00:00,davneet.mukhopadhyay19@iitb.ac.in,8720276473,2021,2,9.68,30,21,11,NULL,NULL
170000055,SwUIj0PI5l7lnZaG,Zahed Nayak,F,1994-08-06 00:00:00,zahed.nayak82@iitb.ac.in,9703054443,2017,6,7.04,26,23,12,NULL,NULL
210000056,leBslPJhdtdb1zzr,Stuti Nadhe,F,1993-11-21 00:00:00,stuti.nadhe48@iitb.ac.in,7908811515,2021,2,7.9,16,7,6,NULL,NULL
210000057,DcBEqTkR06SY4Tgr,Mohsin Meharda,M,1993-04-11 00:00:00,mohsin.meharda80@iitb.ac.in,9479846065,2021,2,7.11,30,22,5,NULL,NULL
190000058,dHgpm0NTJ9uAIA04,Neelu Prajapati,F,1999-11-01 00:00:00,neelu.prajapati58@iitb.ac.in,9697227764,2019,4,7.34,22,13,3,NULL,NULL
210000059,9CGBpBEpdOAEOEfM,Govindam Jaitley,F,1993-09-21 00:00:00,govindam.jaitley61@iitb.ac.in,7210789294,2021,2,8.13,20,1,10,NULL,NULL
180000060,FVQnThfi2QHixDC8,Divyaraj Jamloki,F,2000-10-20 00:00:00,divyaraj.jamloki15@iitb.ac.in,7385266225,2018,5,6.06,8,10,2,NULL,NULL
190000061,eaVJuLwwNgWdPD11,Abbas Kishor,M,2000-11-14 00:00:00,abbas.kishor97@iitb.ac.in,7478671508,2019,4,7.03,30,8,4,NULL,NULL
210000062,bBxroNvtuL6gkXpy,Govindam Azam,M,1994-01-04 00:00:00,govindam.azam97@iitb.ac.in,9579620901,2021,2,8.18,16,10,8,NULL,NULL
200000063,1sWVuI7h4g0pNIPv,Mahima Kesarwani,F,1995-06-21 00:00:00,mahima.kesarwani6@iitb.ac.in,7812860636,2020,3,9.08,16,13,7,NULL,NULL
210000064,EKYIMCHviZQf7R4v,Isha Aftab,M,1994-04-18 00:00:00,isha.aftab50@iitb.ac.in,9241723788,2021,2,6.69,26,6,10,NULL,NULL
210000065,bt9IaF9FHdMvNsPb,Devbrat Aggrawal,M,1997-05-13 00:00:00,devbrat.aggrawal58@iitb.ac.in,7550680257,2021,2,6.83,12,22,8,NULL,NULL
210000066,OUDEha7OIWJUcZy8,Tanish Sonawane,F,1997-01-08 00:00:00,tanish.sonawane23@iitb.ac.in,8241747396,2021,2,9.66,12,19,11,NULL,NULL
200000067,GMDQr6x0Cjn5iKUi,Chirayu Murlidhar,M,1993-02-11 00:00:00,chirayu.murlidhar98@iitb.ac.in,8676163958,2020,3,6.78,14,17,7,NULL,NULL
190000068,uuWxIBlWlSPkllvJ,Satyendra Das,M,1999-02-22 00:00:00,satyendra.das25@iitb.ac.in,7167234088,2019,4,6.97,12,1,1,NULL,NULL
190000069,4jDhSr5hAhhcJ4DB,Kaif Behura,M,2000-01-02 00:00:00,kaif.behura11@iitb.ac.in,7043767757,2019,4,7.9,24,13,3,NULL,NULL
210000070,KGBoZBxXJmsMr2r2,Dolly Singh,F,1993-05-19 00:00:00,dolly.singh40@iitb.ac.in,7747026573,2021,2,6.33,16,13,8,NULL,NULL
180000071,46gPjp2U0835bX6a,Souvik Panghal,M,2000-11-21 00:00:00,souvik.panghal15@iitb.ac.in,9894264463,2018,5,9.05,16,6,2,NULL,NULL
210000072,tHLcbFEuVVUtYt6R,Atishay Kasniya,M,1997-10-29 00:00:00,atishay.kasniya76@iitb.ac.in,9240477048,2021,2,8.49,30,24,9,NULL,NULL
210000073,oHxP67GWDbPtwt5N,Kshitij Kanchapu,F,1996-11-14 00:00:00,kshitij.kanchapu10@iitb.ac.in,7425919305,2021,2,7.07,20,16,9,NULL,NULL
210000074,58EAdPkTxkRwikQ3,Hershit Jindal,F,1997-09-22 00:00:00,hershit.jindal3@iitb.ac.in,7653647587,2021,2,9.7,10,18,8,NULL,NULL
210000075,XC0YQd0EIgrkARNh,Gitanshu Sekhar,F,1995-09-10 00:00:00,gitanshu.sekhar2@iitb.ac.in,7723908966,2021,2,8.03,20,8,9,NULL,NULL
210000076,i0mZ0lMyJTQaYEGd,Anil Paul,M,1993-05-05 00:00:00,anil.paul52@iitb.ac.in,9918588137,2021,2,8.03,18,7,10,NULL,NULL
210000077,VtKKJ07TxF9esajM,Nandini Kanojia,F,1997-02-21 00:00:00,nandini.kanojia12@iitb.ac.in,7814067743,2021,2,9.74,10,1,6,NULL,NULL
210000078,ojPdi2FlddCFJ02T,Shriya Misra,M,1993-06-27 00:00:00,shriya.misra8@iitb.ac.in,9682709968,2021,2,8.37,2,23,5,NULL,NULL
190000079,IgQuSyZg9KZlEWDT,Shruti Pallav,F,1999-12-06 00:00:00,shruti.pallav59@iitb.ac.in,9412749754,2019,4,7.94,8,10,1,NULL,NULL
210000080,Z5nISnNOmPwj4BFX,Haaris Tidke,F,1997-03-29 00:00:00,haaris.tidke69@iitb.ac.in,9659684693,2021,2,7.39,14,18,8,NULL,NULL
210000081,GXIGxBhN3WyFZDOV,Harleen Juneja,F,1996-11-08 00:00:00,harleen.juneja73@iitb.ac.in,7894980188,2021,2,7.91,4,6,11,NULL,NULL
190000082,X5mThyphaEuDSxqa,Karthikeyan Rawlani,F,2001-06-28 00:00:00,karthikeyan.rawlani67@iitb.ac.in,7108465087,2019,4,6.79,18,20,1,NULL,NULL
210000083,0W8o2qW5XWg8sYW4,Aakriti Khatri,F,1995-07-24 00:00:00,aakriti.khatri60@iitb.ac.in,9480205452,2021,2,7.71,18,2,9,NULL,NULL
170000084,XWTGaCvpYgjVRjtU,Abhijit Priya,M,1994-09-16 00:00:00,abhijit.priya31@iitb.ac.in,8233553993,2017,6,8.03,6,16,12,NULL,NULL
210000085,tSDUpmAPCneNn5kg,Sekhar Purkayastha,F,1994-01-11 00:00:00,sekhar.purkayastha62@iitb.ac.in,7557751159,2021,2,7.4,22,12,5,NULL,NULL
180000086,qbIy2GNLF0Mb0lXN,Sharanya Dhinoja,M,1999-02-25 00:00:00,sharanya.dhinoja78@iitb.ac.in,7946681526,2018,5,7.47,12,7,2,NULL,NULL
180000087,2KKRUtfsuL7PgtEG,Digvijay Chaubey,M,2000-08-19 00:00:00,digvijay.chaubey34@iitb.ac.in,8115873570,2018,5,9.24,24,8,2,NULL,NULL
210000088,q6oUmd62cbEiUSKY,Aqsa Shivastava,M,1993-11-02 00:00:00,aqsa.shivastava93@iitb.ac.in,8650857512,2021,2,7.31,22,22,9,NULL,NULL
180000089,jnI03zLJ8heItGgO,Shweta Malhotra,F,2000-11-06 00:00:00,shweta.malhotra76@iitb.ac.in,9060134252,2018,5,6.76,22,23,2,NULL,NULL
190000090,v2oTrMGEkMFwtsw9,Divyanshi Kumar,M,1999-10-22 00:00:00,divyanshi.kumar17@iitb.ac.in,8198198087,2019,4,6.35,14,4,4,NULL,NULL
210000091,EIiQyOu7SS6HrVFc,Mahek Prasad,F,1993-01-29 00:00:00,mahek.prasad2@iitb.ac.in,7049187204,2021,2,8.76,6,22,9,NULL,NULL
170000092,coYnDtZYQWKfZW4y,Yakub Verma,M,1996-01-21 00:00:00,yakub.verma46@iitb.ac.in,8360691964,2017,6,7.09,6,12,12,NULL,NULL
190000093,K0WQncW9F7gGT9wJ,Vardhamann Upadhyay,M,2001-09-07 00:00:00,vardhamann.upadhyay42@iitb.ac.in,9839751023,2019,4,8.53,22,17,4,NULL,NULL
180000094,yHpKpTRSuOjzVle9,Dushyant Asija,M,2001-03-09 00:00:00,dushyant.asija95@iitb.ac.in,8349675728,2018,5,8.06,6,9,2,NULL,NULL
210000095,Rv7xFY3FHtUr14zK,Sahil Banothu,M,1995-09-12 00:00:00,sahil.banothu39@iitb.ac.in,7834809533,2021,2,6.17,4,1,5,NULL,NULL
190000096,Op3DyPK1WoncCzI2,Devendra Pareek,M,2000-04-28 00:00:00,devendra.pareek98@iitb.ac.in,7508836889,2019,4,6.12,4,1,1,NULL,NULL
210000097,wHdywkiWwJsLuTEr,Deepanshu Misra,F,1996-11-04 00:00:00,deepanshu.misra7@iitb.ac.in,7527707057,2021,2,7.03,16,21,11,NULL,NULL
210000098,35aMyYKk8mbhma4w,Yusuf Nag,M,1993-10-10 00:00:00,yusuf.nag4@iitb.ac.in,9713268619,2021,2,7.45,6,3,10,NULL,NULL
210000099,bGhOjDlaVxNrVlIk,Sriansh Kairati,Other,1996-12-30 00:00:00,sriansh.kairati40@iitb.ac.in,8936935018,2021,2,9.64,16,12,9,NULL,NULL
180000100,TM4Cw8ltn2qdxTHB,Dhairya Guha,M,2000-05-12 00:00:00,dhairya.guha34@iitb.ac.in,8704519412,2018,5,9.08,12,4,2,NULL,NULL
210000101,KdqBwUAPBxaco0TU,Amrin Praveenchand,F,1995-08-07 00:00:00,amrin.praveenchand13@iitb.ac.in,7066565771,2021,2,6.66,6,12,10,NULL,NULL
190000102,aDglIYX9aHRGT2Qy,Adil Fatima,M,1999-06-18 00:00:00,adil.fatima21@iitb.ac.in,7658064978,2019,4,6.63,26,12,1,NULL,NULL
190000103,BG7RoiPCKa0zTk8a,Aayushi Chavan,Other,2000-02-12 00:00:00,aayushi.chavan76@iitb.ac.in,7677776567,2019,4,8.91,10,2,4,NULL,NULL
170000104,481VOn6xDfLhE9lQ,Nawaz Rausa,M,1997-12-29 00:00:00,nawaz.rausa69@iitb.ac.in,9503916421,2017,6,9.19,30,13,12,NULL,NULL
210000105,CN7ZCp7vpautmxzQ,Kamran Prabhu,M,1993-08-17 00:00:00,kamran.prabhu14@iitb.ac.in,8047269707,2021,2,9.81,2,23,5,NULL,NULL
180000106,S4wNHjnp6vDZPqJN,Karishma Bhushan,F,1999-10-26 00:00:00,karishma.bhushan44@iitb.ac.in,8453491045,2018,5,9.82,4,2,2,NULL,NULL
190000107,Xzc6TdIkn38l7tFR,Himanshi Samdharshni,M,2000-08-24 00:00:00,himanshi.samdharshni47@iitb.ac.in,9465526186,2019,4,6.94,14,15,4,NULL,NULL
210000108,rytVTKYQB4WmIMph,Avinash Dinu,F,1995-05-21 00:00:00,avinash.dinu44@iitb.ac.in,8665397606,2021,2,7.11,20,9,9,NULL,NULL
170000109,AXTprITM9kq2ylP3,Kavya Agrawal,M,1997-01-09 00:00:00,kavya.agrawal44@iitb.ac.in,7792804191,2017,6,7.01,12,7,12,NULL,NULL
210000110,V8ckO9IJzDxsbp2y,Bhanu Bhatia,M,1995-01-23 00:00:00,bhanu.bhatia25@iitb.ac.in,9454761775,2021,2,9.13,20,21,9,NULL,NULL
210000111,pgjvbQ5LFv6xJfWP,Palata Reddy,F,1995-05-12 00:00:00,palata.reddy49@iitb.ac.in,9218445200,2021,2,7.51,10,18,10,NULL,NULL
210000112,KNwJI4bVdrvqgl8d,Prakhyat Raza,M,1996-05-18 00:00:00,prakhyat.raza81@iitb.ac.in,9102742469,2021,2,6.51,4,14,11,NULL,NULL
210000113,rmi3a9EPo27A7mcG,Kushagra Saxena,M,1994-02-28 00:00:00,kushagra.saxena92@iitb.ac.in,9505451166,2021,2,7.08,26,10,5,NULL,NULL
210000114,gYapbu1MJzczSJGw,Lakshmi Sen,F,1997-09-06 00:00:00,lakshmi.sen96@iitb.ac.in,9786406647,2021,2,7.76,8,19,8,NULL,NULL
200000115,U0bePlELgUb5Zmv3,Umme Ranjan,M,1996-05-07 00:00:00,umme.ranjan14@iitb.ac.in,8431669691,2020,3,9.7,6,16,7,NULL,NULL
210000116,WcoW8QjEcE0adaIe,Saumile Wadhawan,F,1995-01-28 00:00:00,saumile.wadhawan48@iitb.ac.in,7374396306,2021,2,8.27,16,21,8,NULL,NULL
210000117,R5xQlFFa8MsnYwAy,Kishor Dahiya,F,1993-04-25 00:00:00,kishor.dahiya75@iitb.ac.in,7534849776,2021,2,8.76,14,1,11,NULL,NULL
190000118,280GawqZg1AM8I4y,Shivam Sarawagi,F,1999-05-25 00:00:00,shivam.sarawagi3@iitb.ac.in,9812894541,2019,4,10.0,12,5,4,NULL,NULL
210000119,UZAyw43UWVektPHY,Tanish Kasniya,M,1997-05-17 00:00:00,tanish.kasniya6@iitb.ac.in,7824667122,2021,2,6.97,10,1,11,NULL,NULL
210000120,udN3PybFJt4EZHPg,Anish Kotturu,M,1995-01-01 00:00:00,anish.kotturu5@iitb.ac.in,8333553064,2021,2,6.02,24,20,10,NULL,NULL
190000121,x8DriqWWGzNtBQmJ,Viraj Sinha,M,2000-02-27 00:00:00,viraj.sinha9@iitb.ac.in,8312660909,2019,4,6.61,26,10,4,NULL,NULL
200000122,dQhNp0t1g9nAZTRA,Pragati Mehta,F,1993-01-11 00:00:00,pragati.mehta3@iitb.ac.in,8712860936,2020,3,8.52,14,18,7,NULL,NULL
210000123,blAmAGlgyBXeuAyW,Rahul Khanna,M,1997-04-30 00:00:00,rahul.khanna97@iitb.ac.in,9405716677,2021,2,7.65,6,16,6,NULL,NULL
210000124,QtH6KBJiPPb0bRFp,Ashmita Bais,Other,1993-09-30 00:00:00,ashmita.bais63@iitb.ac.in,8536398804,2021,2,9.89,16,16,10,NULL,NULL
190000125,DYJeuF4B6zDNBACi,Haaris Wadhawan,F,2000-09-21 00:00:00,haaris.wadhawan16@iitb.ac.in,7370326542,2019,4,6.07,8,12,1,NULL,NULL
170000126,WcaqvPQsH7IaaWdL,Vasundhara Shukla,M,1995-06-16 00:00:00,vasundhara.shukla85@iitb.ac.in,9860568498,2017,6,9.45,2,9,12,NULL,NULL
210000127,pExdCdQLLbysnenn,Rajamani Shrivastava,F,1993-12-14 00:00:00,rajamani.shrivastava46@iitb.ac.in,8277699730,2021,2,8.4,16,5,8,NULL,NULL
180000128,UzouNefbAFj3HksL,Sahaj Pal,F,2001-03-15 00:00:00,sahaj.pal39@iitb.ac.in,9479823013,2018,5,7.41,20,16,2,NULL,NULL
190000129,RP8wHTfkS9Kcd5Xa,Renu Gutti,F,1999-02-05 00:00:00,renu.gutti3@iitb.ac.in,8350221994,2019,4,6.99,22,5,4,NULL,NULL
170000130,3eySd57Z89Kj0iHU,Vashif Singhal,Other,1994-10-02 00:00:00,vashif.singhal15@iitb.ac.in,7842693311,2017,6,6.72,22,9,12,NULL,NULL
210000131,TGXaG2v1zUXTgHJG,Vipasha Shahi,M,1993-01-27 00:00:00,vipasha.shahi23@iitb.ac.in,9277754852,2021,2,8.21,26,16,10,NULL,NULL
190000132,N0uvBI758mKfkOZz,Ajeet Chitranshi,F,2000-10-03 00:00:00,ajeet.chitranshi71@iitb.ac.in,8742310451,2019,4,6.31,28,20,3,NULL,NULL
210000133,RM4QNc2QZ8PN9BfC,Abhisikta Rungta,F,1995-11-03 00:00:00,abhisikta.rungta40@iitb.ac.in,8563986327,2021,2,8.97,10,5,9,NULL,NULL
170000134,JDmPOJe0e4fQMcZS,Archana Srivastav,F,1995-08-10 00:00:00,archana.srivastav72@iitb.ac.in,8054420413,2017,6,7.1,10,22,12,NULL,NULL
210000135,NJXISE5jyUtlODH3,Harsh Joseph,M,1993-04-16 00:00:00,harsh.joseph69@iitb.ac.in,7451269635,2021,2,8.09,2,1,10,NULL,NULL
210000136,BLv5mlko9gfNZqqY,Rajneesh Bhasin,F,1994-08-13 00:00:00,rajneesh.bhasin18@iitb.ac.in,7241790019,2021,2,6.73,12,17,8,NULL,NULL
200000137,wk4KNDb5A6ETwCnz,Karthik Saini,F,1997-04-02 00:00:00,karthik.saini30@iitb.ac.in,8218806756,2020,3,6.1,28,11,7,NULL,NULL
200000138,whBFvHYYPhjIVhIx,Yashaswini Wasif,F,1993-06-24 00:00:00,yashaswini.wasif77@iitb.ac.in,9419769105,2020,3,6.04,10,21,7,NULL,NULL
190000139,o5AgzUzbfxEHLJn5,Sumaiya Varma,M,1999-06-19 00:00:00,sumaiya.varma57@iitb.ac.in,7350958930,2019,4,8.19,2,21,4,NULL,NULL
190000140,geQgbYoKE34esmnX,Jai Durgavanshi,F,2001-09-17 00:00:00,jai.durgavanshi10@iitb.ac.in,9803285595,2019,4,7.37,14,16,1,NULL,NULL
210000141,QLhp6PCOsMG76MuQ,Stuti Bhadouriya,F,1993-02-06 00:00:00,stuti.bhadouriya18@iitb.ac.in,9137604125,2021,2,8.67,6,15,9,NULL,NULL
210000142,Yz3aXApat3QJA8h6,Snehit Gurjar,M,1994-04-29 00:00:00,snehit.gurjar46@iitb.ac.in,7977008963,2021,2,9.12,24,3,5,NULL,NULL
170000143,hYQYpMMcD6Zqxeee,Simaran Khobragade,M,1993-05-01 00:00:00,simaran.khobragade15@iitb.ac.in,9331466852,2017,6,9.64,4,16,12,NULL,NULL
210000144,L4Cbu5IMgddo7Mx3,Abhilash Kaur,M,1995-02-27 00:00:00,abhilash.kaur55@iitb.ac.in,8640152028,2021,2,8.78,16,21,6,NULL,NULL
170000145,tXEQ039OyaZ6rFkH,Ana Khobragade,M,1994-11-20 00:00:00,ana.khobragade88@iitb.ac.in,9425024653,2017,6,8.91,10,8,12,NULL,NULL
190000146,bNIPlJBBWH55W7Me,Hammaad Vishal,M,1999-11-03 00:00:00,hammaad.vishal12@iitb.ac.in,7744193180,2019,4,8.58,30,4,1,NULL,NULL
200000147,jylrMNBHpHub9l9Y,Sukumaran Gill,F,1996-11-03 00:00:00,sukumaran.gill94@iitb.ac.in,9932427505,2020,3,8.63,26,11,7,NULL,NULL
210000148,1pBo0UyJmT4T7dCL,Mukesh Sood,F,1996-12-15 00:00:00,mukesh.sood81@iitb.ac.in,7890878530,2021,2,9.02,16,20,11,NULL,NULL
180000149,77q7MJMaVyjtdU9m,Ritank Khanna,M,2000-01-18 00:00:00,ritank.khanna54@iitb.ac.in,8530100933,2018,5,9.57,20,18,2,NULL,NULL
