student_rno, student_password, student_name, student_gender, student_dob, student_email, student_contact, year_of_enrollment, student_current_year, student_cpi, student_incentive_points, department_id, program_id, allocated_jaf, allocated_time
190000018, mMhOHlKlaVAXSCKV, Rehman Kukreja, M, 2001-07-19 00:00:00, rehman.kukreja73@iitb.ac.in, 7710430191, 2019, 4, 6.82, 2, 1, 4, NULL, NULL
210000019, y94fcon7GdfHVIea, Abhijeet Lavudya, M, 1995-06-22 00:00:00, abhijeet.lavudya10@iitb.ac.in, 9842277104, 2021, 2, 6.47, 14, 5, 10, NULL, NULL
180000020, 1nfydRpb7WeDt05E, Nemi Pravesh, M, 2000-11-19 00:00:00, nemi.pravesh23@iitb.ac.in, 7257039604, 2018, 5, 9.37, 18, 16, 2, NULL, NULL
190000021, JctSv0paaIC1wPvs, Yashwant Dudeja, M, 1999-09-23 00:00:00, yashwant.dudeja49@iitb.ac.in, 8445275048, 2019, 4, 8.74, 26, 2, 3, 28, 2021-03-07 21:30:18
180000022, uPoOoukriVZC3Elb, Karishma Rastogi, M, 2001-06-10 00:00:00, karishma.rastogi23@iitb.ac.in, 8322577730, 2018, 5, 6.86, 24, 11, 2, NULL, NULL
180000023, Wgcnrmj90TjR2qRI, Garv Durgavanshi, M, 2000-02-04 00:00:00, garv.durgavanshi84@iitb.ac.in, 7887842862, 2018, 5, 7.18, 6, 4, 2, NULL, NULL
170000024, Gbk05EJQWajLKQ0E, Nivika Khobragade, F, 1993-09-02 00:00:00, nivika.khobragade9@iitb.ac.in, 9142381443, 2017, 6, 9.47, 10, 20, 12, NULL, NULL
170000025, Rxg4d4WXehj7dpNV, Vishnu Tidke, F, 1995-11-28 00:00:00, vishnu.tidke69@iitb.ac.in, 7436277731, 2017, 6, 6.61, 30, 6, 12, NULL, NULL
210000026, x0qj7x8JAQdTT2Oj, Sabareesh Chauhan, M, 1996-09-19 00:00:00, sabareesh.chauhan68@iitb.ac.in, 8338192644, 2021, 2, 8.21, 14, 23, 5, NULL, NULL
210000027, QTMyiyf6xr3xr1Mf, Vratanshi Quadiri, M, 1993-05-26 00:00:00, vratanshi.quadiri36@iitb.ac.in, 8168398380, 2021, 2, 7.65, 28, 2, 10, NULL, NULL
210000028, RGB0FPImvRukpMYa, Shravya Dwivedi, Other, 1994-10-24 00:00:00, shravya.dwivedi69@iitb.ac.in, 9357035126, 2021, 2, 9.4, 14, 5, 5, NULL, NULL
210000029, oUhia7lA1Q7Z70yN, Shukant Patel, F, 1997-03-27 00:00:00, shukant.patel23@iitb.ac.in, 7404246762, 2021, 2, 9.78, 30, 13, 5, NULL, NULL
210000030, Jzjn6ZTCBgJe0QQf, Vishesh Gurubhaiye, F, 1997-05-20 00:00:00, vishesh.gurubhaiye95@iitb.ac.in, 9689064047, 2021, 2, 7.36, 26, 2, 5, NULL, NULL
190000031, JGLA8IGuvIznDJVm, Gauri Nandakumar, F, 1999-02-18 00:00:00, gauri.nandakumar4@iitb.ac.in, 9492742375, 2019, 4, 6.77, 16, 24, 3, NULL, NULL
210000032, hunqJEw51OCsJn4e, Pradosh Balmiki, Other, 1997-12-15 00:00:00, pradosh.balmiki28@iitb.ac.in, 8499099024, 2021, 2, 8.3, 16, 13, 11, 368, 2021-03-05 22:09:21
190000033, PBY9Y4hAIzOOcviJ, Shazia Pallav, M, 2001-01-31 00:00:00, shazia.pallav84@iitb.ac.in, 8903071616, 2019, 4, 9.24, 14, 8, 4, NULL, NULL
170000034, P91lNSd1kZkcKilV, Shrikant Dudeja, F, 1994-05-22 00:00:00, shrikant.dudeja9@iitb.ac.in, 8734606495, 2017, 6, 7.44, 2, 19, 12, NULL, NULL
210000035, vMogYph46TrpSbnl, Hritika Hanul, F, 1997-09-21 00:00:00, hritika.hanul61@iitb.ac.in, 8745413095, 2021, 2, 7.51, 2, 16, 9, NULL, NULL
210000036, JPVSjAP57FUIJ4v6, Hitesh Mittal, F, 1997-11-20 00:00:00, hitesh.mittal46@iitb.ac.in, 8251893926, 2021, 2, 9.33, 26, 17, 6, NULL, NULL
190000037, u6axfdkrMDxYwsEK, Agrim Grover, M, 2001-07-06 00:00:00, agrim.grover37@iitb.ac.in, 9411413341, 2019, 4, 8.96, 6, 1, 3, NULL, NULL
210000038, YegjOJdXiB36hub5, Sonika Menon, M, 1997-07-12 00:00:00, sonika.menon28@iitb.ac.in, 8543040862, 2021, 2, 9.49, 30, 2, 5, NULL, NULL
210000039, yPoZY03b3m1a3Uok, Yashaswini Karkhele, M, 1995-09-02 00:00:00, yashaswini.karkhele53@iitb.ac.in, 9233369977, 2021, 2, 8.29, 6, 4, 9, NULL, NULL
210000040, Bn22oKsOgln6HyuT, Sanjit Ganore, F, 1997-10-24 00:00:00, sanjit.ganore27@iitb.ac.in, 9794442538, 2021, 2, 9.96, 6, 24, 6, NULL, NULL
200000041, B6aWIwF2KuYiJyaa, Ibrahim Sarma, M, 1996-11-07 00:00:00, ibrahim.sarma7@iitb.ac.in, 9213447134, 2020, 3, 6.24, 8, 15, 7, NULL, NULL
190000042, vAtDNgjTDnLbhMXl, Sarvesh Dixit, M, 1999-05-15 00:00:00, sarvesh.dixit8@iitb.ac.in, 9656629602, 2019, 4, 9.89, 26, 19, 1, NULL, NULL
190000043, 8I1tgu87vOQwIa12, Pradosh Tewary, M, 1999-05-05 00:00:00, pradosh.tewary76@iitb.ac.in, 7817347911, 2019, 4, 7.18, 28, 8, 4, NULL, NULL
210000044, 0x3TVUTdhyfiIg15, Meenu Parihar, M, 1995-04-30 00:00:00, meenu.parihar83@iitb.ac.in, 8394321368, 2021, 2, 6.08, 4, 7, 10, NULL, NULL
200000045, yFoKqi0HhujSeWaZ, Astitva Heblikar, F, 1994-11-01 00:00:00, astitva.heblikar88@iitb.ac.in, 7067599521, 2020, 3, 6.63, 12, 11, 7, NULL, NULL
190000046, 2wTqJzZkKqYTTy9H, Shivam Negi, M, 1999-10-03 00:00:00, shivam.negi50@iitb.ac.in, 7264376325, 2019, 4, 7.82, 6, 3, 3, NULL, NULL
180000047, wLa2cULEjMBKxAzb, Shailvi Chavan, F, 1999-09-06 00:00:00, shailvi.chavan73@iitb.ac.in, 7809017230, 2018, 5, 8.89, 4, 9, 2, 463, 2021-03-21 11:55:23
190000048, 2nMZKlDiQrkSd6xk, Soumitra Khandelwal, F, 1999-11-13 00:00:00, soumitra.khandelwal12@iitb.ac.in, 9597985078, 2019, 4, 7.18, 12, 12, 1, NULL, NULL
190000049, XNbsxYmmioLjR5dV, Prajjwal Pradhan, M, 2000-01-08 00:00:00, prajjwal.pradhan84@iitb.ac.in, 9344514910, 2019, 4, 7.09, 8, 14, 1, NULL, NULL
210000050, 7tL1QEPcktbWt2Ip, Suyesh Swain, M, 1993-09-16 00:00:00, suyesh.swain74@iitb.ac.in, 9126753615, 2021, 2, 9.96, 14, 6, 11, NULL, NULL
200000051, QHQDkPgW0PjdJOpR, Shubhanshi Dahlan, M, 1996-12-27 00:00:00, shubhanshi.dahlan75@iitb.ac.in, 7742530183, 2020, 3, 7.53, 24, 23, 7, NULL, NULL
180000052, VVP6pFpad0PJTkOY, Prabhjot Dutt, M, 2001-03-09 00:00:00, prabhjot.dutt20@iitb.ac.in, 8942472010, 2018, 5, 9.72, 26, 5, 2, NULL, NULL
180000053, vds3ETgO05k0myGE, Anikrishna Dubey, M, 2000-11-27 00:00:00, anikrishna.dubey57@iitb.ac.in, 8117273471, 2018, 5, 6.22, 22, 21, 2, NULL, NULL
210000054, OeuOFf7JPBi2Ttd8, Kaustubh Heblikar, M, 1994-02-01 00:00:00, kaustubh.heblikar47@iitb.ac.in, 8152274765, 2021, 2, 8.15, 8, 3, 6, NULL, NULL
170000055, hUiION0fMXpwf73C, Mansi Jajoo, F, 1995-07-10 00:00:00, mansi.jajoo65@iitb.ac.in, 9852767965, 2017, 6, 8.84, 26, 12, 12, NULL, NULL
210000056, G7JzH0zwvpUyJZhq, Simaran Pokhriyal, F, 1995-09-04 00:00:00, simaran.pokhriyal74@iitb.ac.in, 9030216937, 2021, 2, 6.88, 16, 7, 9, NULL, NULL
210000057, l7n9tIsmKUqqDkaK, Raju Ahmed, F, 1993-11-27 00:00:00, raju.ahmed2@iitb.ac.in, 7256947233, 2021, 2, 8.92, 10, 23, 5, NULL, NULL
190000058, vUQTm0d3QSSPZTyz, Prajeeth Talwar, M, 2001-09-02 00:00:00, prajeeth.talwar56@iitb.ac.in, 8519530199, 2019, 4, 6.04, 14, 15, 4, NULL, NULL
210000059, PHf1DbQdnh07cb9x, Surbhi Karkhele, M, 1997-05-12 00:00:00, surbhi.karkhele98@iitb.ac.in, 7618836864, 2021, 2, 6.34, 26, 8, 5, NULL, NULL
200000060, 8XmTobWgBG8OwzzH, Shaurya Bhattacharya, M, 1994-05-03 00:00:00, shaurya.bhattacharya70@iitb.ac.in, 7835179566, 2020, 3, 8.86, 18, 21, 7, NULL, NULL
210000061, Ru4PzJmIUYzuu68e, Babitarani Kashyap, M, 1995-08-15 00:00:00, babitarani.kashyap53@iitb.ac.in, 7917058779, 2021, 2, 9.11, 30, 16, 8, NULL, NULL
210000062, eqNq2DYXNQuTyFiI, Ishita Krishna, F, 1997-08-15 00:00:00, ishita.krishna53@iitb.ac.in, 7093705487, 2021, 2, 7.92, 8, 8, 10, NULL, NULL
210000063, hM6PtoypmMYzAJYm, Arshad Hansdah, F, 1993-03-12 00:00:00, arshad.hansdah1@iitb.ac.in, 9640718724, 2021, 2, 8.45, 2, 15, 8, NULL, NULL
190000064, 6uelmAyT9p3C3Cd0, Omkant Maddeshiya, F, 2001-01-15 00:00:00, omkant.maddeshiya40@iitb.ac.in, 7237494949, 2019, 4, 9.96, 14, 12, 3, NULL, NULL
200000065, SeqQUFBWnDSDswXt, Sagar Nath, M, 1993-08-16 00:00:00, sagar.nath14@iitb.ac.in, 9043929185, 2020, 3, 9.89, 22, 3, 7, NULL, NULL
170000066, 9uyvHYnlQ9OhvHv6, Chaitanya Bhadauria, F, 1997-03-20 00:00:00, chaitanya.bhadauria79@iitb.ac.in, 7337932935, 2017, 6, 9.36, 12, 9, 12, NULL, NULL
190000067, Mnrknb19GMSBXdv7, Abuzar Heblikar, M, 2001-09-09 00:00:00, abuzar.heblikar69@iitb.ac.in, 7349209350, 2019, 4, 7.8, 18, 20, 4, NULL, NULL
210000068, 50eC1OT3dKTe7Bm5, Farhan Swamy, F, 1997-08-13 00:00:00, farhan.swamy57@iitb.ac.in, 8040595682, 2021, 2, 8.52, 20, 17, 11, NULL, NULL
190000069, mCYbSuqMjy9RiAhj, Shailesh Siddiqui, M, 2001-01-22 00:00:00, shailesh.siddiqui15@iitb.ac.in, 8453838350, 2019, 4, 8.74, 14, 23, 3, NULL, NULL
210000070, ytOTpu9g8bpIgMYv, Rishit Bugalia, M, 1997-08-19 00:00:00, rishit.bugalia81@iitb.ac.in, 7250210099, 2021, 2, 8.48, 20, 16, 9, NULL, NULL
170000071, RePs8VuNOOfvVFF5, Snehil Porwal, F, 1995-12-16 00:00:00, snehil.porwal68@iitb.ac.in, 7067086854, 2017, 6, 9.13, 10, 3, 12, NULL, NULL
210000072, okBZGKVGnxXl87D1, Yashwanth Shukla, F, 1993-01-14 00:00:00, yashwanth.shukla45@iitb.ac.in, 7872284235, 2021, 2, 7.57, 18, 4, 9, NULL, NULL
190000073, H0PyiKMuvO46qLwo, Subhashini Nair, M, 2001-07-15 00:00:00, subhashini.nair64@iitb.ac.in, 7827559904, 2019, 4, 7.88, 4, 6, 1, NULL, NULL
210000074, KNnjfBnXpeIWNG7O, Diksha Venkateshwaran, F, 1997-04-05 00:00:00, diksha.venkateshwaran30@iitb.ac.in, 8808882262, 2021, 2, 8.94, 26, 17, 11, NULL, NULL
180000075, g5Q8oy7lxI1iUBum, Faraz Parween, F, 2001-06-10 00:00:00, faraz.parween87@iitb.ac.in, 7832993385, 2018, 5, 6.28, 26, 17, 2, NULL, NULL
200000076, sCWrMH5S1AP9t6by, Manu Waseem, M, 1996-07-13 00:00:00, manu.waseem36@iitb.ac.in, 8966022276, 2020, 3, 6.13, 6, 14, 7, NULL, NULL
170000077, jwqITlVegoRTumOe, Asad Ritikesh, M, 1996-02-22 00:00:00, asad.ritikesh23@iitb.ac.in, 7944654389, 2017, 6, 7.95, 30, 20, 12, NULL, NULL
210000078, f2nCCPY9ke4zm3LK, Tuhina Dikshit, F, 1993-11-21 00:00:00, tuhina.dikshit41@iitb.ac.in, 7287387177, 2021, 2, 9.74, 20, 17, 6, NULL, NULL
170000079, X5MknZrb8gdSf9rF, Sushmita Barnawal, M, 1994-08-07 00:00:00, sushmita.barnawal51@iitb.ac.in, 9200697719, 2017, 6, 7.02, 24, 9, 12, NULL, NULL
210000080, 1eEkXQodECGAfC24, Utsav Tripathi, F, 1994-04-11 00:00:00, utsav.tripathi33@iitb.ac.in, 7073671886, 2021, 2, 6.21, 16, 17, 5, 366, 2021-04-01 16:17:11
180000081, leSIdNXgv7JjRmA0, Shaad Middinti, F, 2000-10-21 00:00:00, shaad.middinti84@iitb.ac.in, 7651882723, 2018, 5, 6.2, 24, 16, 2, NULL, NULL
190000082, iRIYyV57egGGrvrR, Aaditya Anjum, F, 2001-06-30 00:00:00, aaditya.anjum15@iitb.ac.in, 8570929224, 2019, 4, 7.74, 4, 7, 4, NULL, NULL
170000083, 5FgAKtPDMaiTyXAF, Kasturi Sonkar, F, 1994-04-18 00:00:00, kasturi.sonkar59@iitb.ac.in, 7955457297, 2017, 6, 6.32, 16, 11, 12, NULL, NULL
210000084, tXxV5HuMucxKXCeK, Pradeep Chaurasia, F, 1996-07-12 00:00:00, pradeep.chaurasia33@iitb.ac.in, 9630056611, 2021, 2, 9.57, 20, 19, 11, 118, 2021-03-21 16:03:39
170000085, 7fqG9nfzhGY5y79R, Monish Guduri, M, 1997-01-11 00:00:00, monish.guduri37@iitb.ac.in, 7631340432, 2017, 6, 7.25, 26, 20, 12, NULL, NULL
200000086, vf8bP11Amx7Vjfto, Shiromani Chandra, M, 1997-09-15 00:00:00, shiromani.chandra9@iitb.ac.in, 8628037403, 2020, 3, 6.19, 14, 17, 7, NULL, NULL
210000087, w6Zbe77BHocBDXDe, Swati Kothari, F, 1995-12-28 00:00:00, swati.kothari63@iitb.ac.in, 8404188476, 2021, 2, 7.92, 28, 1, 9, NULL, NULL
210000088, PSTgmZvNHRmBiGbX, Niranjan Jivani, F, 1995-09-02 00:00:00, niranjan.jivani81@iitb.ac.in, 9890315101, 2021, 2, 7.21, 2, 21, 10, NULL, NULL
210000089, guh0y3xESxG8ljvy, Priyanshi Baranwal, M, 1994-02-13 00:00:00, priyanshi.baranwal51@iitb.ac.in, 9859730243, 2021, 2, 8.42, 12, 8, 9, NULL, NULL
180000090, cOyOLpqiUatJ0uG6, Shashwat Kesarwani, F, 2000-06-16 00:00:00, shashwat.kesarwani13@iitb.ac.in, 8135811777, 2018, 5, 8.26, 16, 1, 2, NULL, NULL
190000091, TAIXWPurGLcsxo8A, Sriansh Nigam, F, 1999-09-22 00:00:00, sriansh.nigam40@iitb.ac.in, 9293682572, 2019, 4, 6.69, 30, 11, 1, NULL, NULL
170000092, 5RxAlakhrtRgQzOk, Saran Kasaudhan, M, 1994-01-20 00:00:00, saran.kasaudhan60@iitb.ac.in, 8334154234, 2017, 6, 8.82, 20, 23, 12, NULL, NULL
210000093, 8OVCBezgIS3JzERA, Sushil Behura, F, 1994-01-08 00:00:00, sushil.behura3@iitb.ac.in, 8288754591, 2021, 2, 8.62, 26, 13, 5, 507, 2021-03-23 13:09:40
200000094, uprM5Bk4IwQYiyiF, Jagadeesh Mahmood, M, 1996-03-24 00:00:00, jagadeesh.mahmood95@iitb.ac.in, 9874837058, 2020, 3, 9.53, 30, 13, 7, NULL, NULL
180000095, uWfqaBvgCCn6ZXTO, Vineeta Hasni, F, 1999-05-11 00:00:00, vineeta.hasni16@iitb.ac.in, 9887672691, 2018, 5, 8.26, 6, 24, 2, NULL, NULL
210000096, iUHDCxAUKETD6t5X, Devbrat Suchi, F, 1997-02-07 00:00:00, devbrat.suchi60@iitb.ac.in, 9159594209, 2021, 2, 7.09, 24, 9, 10, NULL, NULL
210000097, TP1LdGlczjxq4sFk, Atishay Shrivas, M, 1994-07-20 00:00:00, atishay.shrivas38@iitb.ac.in, 7640762630, 2021, 2, 6.81, 16, 3, 6, NULL, NULL
210000098, PV9inP9EWWEWUIU9, Ashutosh Raj, F, 1995-05-18 00:00:00, ashutosh.raj27@iitb.ac.in, 9460497112, 2021, 2, 7.95, 14, 19, 9, NULL, NULL
210000099, 08LFHZre0nskEBPH, Dimpal Afsar, F, 1993-07-26 00:00:00, dimpal.afsar96@iitb.ac.in, 7384029890, 2021, 2, 6.32, 10, 7, 5, NULL, NULL
210000100, 7xdekCTt3mZZwqc2, Shalini Saluja, F, 1995-09-05 00:00:00, shalini.saluja14@iitb.ac.in, 7757615202, 2021, 2, 9.38, 28, 19, 8, NULL, NULL
210000101, UNuIrUjQF5u5KFoi, Tanveer Barai, M, 1994-07-25 00:00:00, tanveer.barai94@iitb.ac.in, 8568352036, 2021, 2, 8.0, 14, 2, 10, NULL, NULL
190000102, tiYZgYkIVAsqIhlh, Akshay Wanve, M, 2001-04-09 00:00:00, akshay.wanve61@iitb.ac.in, 8426603529, 2019, 4, 7.19, 30, 14, 3, NULL, NULL
180000103, pwcVucFI3rLr7rx1, Aryaman Soni, F, 1999-10-07 00:00:00, aryaman.soni35@iitb.ac.in, 7096402637, 2018, 5, 8.93, 18, 20, 2, NULL, NULL
210000104, 4qKKF1oFPXugxKRM, Saran Dutta, F, 1994-06-02 00:00:00, saran.dutta56@iitb.ac.in, 8152995120, 2021, 2, 8.96, 30, 23, 8, NULL, NULL
210000105, HJysYBNtjTLVLz2J, Diptanshu Shankdhar, M, 1993-05-28 00:00:00, diptanshu.shankdhar10@iitb.ac.in, 8439423256, 2021, 2, 8.17, 22, 15, 8, NULL, NULL
210000106, k7QipX4YqLDHDUwK, Divyaraj Agarwal, M, 1995-05-16 00:00:00, divyaraj.agarwal70@iitb.ac.in, 9152603060, 2021, 2, 9.16, 2, 11, 11, NULL, NULL
190000107, Q7ni3JmEKzhPtw62, Aadharsh Akolkar, F, 2000-04-06 00:00:00, aadharsh.akolkar48@iitb.ac.in, 8952017543, 2019, 4, 9.44, 18, 12, 4, NULL, NULL
200000108, AJPNve6GxI86kZXV, Sugathan Goswami, F, 1995-02-08 00:00:00, sugathan.goswami33@iitb.ac.in, 7629115336, 2020, 3, 7.06, 30, 21, 7, NULL, NULL
190000109, frUTmJwaXJCwRnKl, Atishay Nadhe, F, 2001-07-05 00:00:00, atishay.nadhe17@iitb.ac.in, 9202039805, 2019, 4, 6.02, 4, 12, 1, NULL, NULL
210000110, 0PUYFyRotLHZmePg, Divyaraj Madaan, M, 1993-11-22 00:00:00, divyaraj.madaan14@iitb.ac.in, 7326593295, 2021, 2, 6.09, 2, 13, 9, NULL, NULL
210000111, LevnhaUTnAtfeYh5, Saanchi Mishra, M, 1997-09-27 00:00:00, saanchi.mishra6@iitb.ac.in, 9415456167, 2021, 2, 6.28, 8, 20, 9, NULL, NULL
200000112, CzP1ykIsMuZ5PCGN, Swarag Dev, M, 1995-07-20 00:00:00, swarag.dev97@iitb.ac.in, 8447748025, 2020, 3, 8.85, 12, 5, 7, NULL, NULL
210000113, 5v5oefXKarDDIqYG, Raj Islam, F, 1996-07-18 00:00:00, raj.islam23@iitb.ac.in, 8940015491, 2021, 2, 7.25, 18, 5, 6, NULL, NULL
210000114, B6Ybo7RKmYADzTv1, Hammaad Aggarwal, Other, 1993-05-03 00:00:00, hammaad.aggarwal8@iitb.ac.in, 8103571242, 2021, 2, 8.9, 6, 6, 11, NULL, NULL
210000115, Z3IDREMfakjHW6rI, Akhya Jhindal, M, 1996-10-10 00:00:00, akhya.jhindal54@iitb.ac.in, 7486249809, 2021, 2, 9.2, 16, 12, 11, 336, 2021-03-21 10:42:56
210000116, kboJTz5pEDXnqcwS, Shalu Bhaskar, F, 1997-08-22 00:00:00, shalu.bhaskar54@iitb.ac.in, 7462779671, 2021, 2, 6.12, 14, 15, 6, NULL, NULL
190000117, Or4vGHXDuoijFm3J, Tanishta Inavolu, F, 2000-02-18 00:00:00, tanishta.inavolu35@iitb.ac.in, 7937900208, 2019, 4, 9.82, 20, 15, 4, NULL, NULL
210000118, qI7FhySoJdF9cu4J, Shilpa Meena, M, 1997-02-24 00:00:00, shilpa.meena79@iitb.ac.in, 7234532356, 2021, 2, 9.19, 16, 22, 8, NULL, NULL
190000119, go5QCAfSvxEHqw41, Janhvi Parween, F, 2001-09-11 00:00:00, janhvi.parween95@iitb.ac.in, 8754277917, 2019, 4, 8.14, 16, 4, 1, NULL, NULL
210000120, 9gLbFrGJ5GQ5c2x0, Arihant Khobragade, Other, 1997-11-07 00:00:00, arihant.khobragade79@iitb.ac.in, 8659639443, 2021, 2, 6.73, 20, 16, 11, NULL, NULL
190000121, PSGVOHut9wwOCwrd, Tejas Bhattacharya, M, 2000-12-16 00:00:00, tejas.bhattacharya33@iitb.ac.in, 8738365727, 2019, 4, 6.81, 28, 2, 1, NULL, NULL
170000122, 7S2AD8PsswKFpPik, Surajit Dubey, F, 1995-05-09 00:00:00, surajit.dubey29@iitb.ac.in, 9399814158, 2017, 6, 7.38, 6, 6, 12, NULL, NULL
200000123, w9mgbvQonWazcUkX, Ashwani Kaushik, F, 1993-12-30 00:00:00, ashwani.kaushik20@iitb.ac.in, 7098303098, 2020, 3, 8.71, 16, 1, 7, NULL, NULL
210000124, 4VL1bT789qsPVUfA, Naziya Fathima, F, 1997-02-18 00:00:00, naziya.fathima9@iitb.ac.in, 8935790614, 2021, 2, 8.78, 6, 5, 6, NULL, NULL
210000125, XICuWfnt37k8UQXZ, Manaswini Rungta, F, 1995-08-05 00:00:00, manaswini.rungta85@iitb.ac.in, 7649495127, 2021, 2, 9.12, 16, 11, 6, NULL, NULL
190000126, KXDV800Dd6b4JxW7, Jitendra Gond, Other, 2000-04-14 00:00:00, jitendra.gond20@iitb.ac.in, 9590707273, 2019, 4, 7.51, 10, 20, 3, NULL, NULL
210000127, asa5XUuinkPdxBFg, Rashi Dinu, M, 1997-06-04 00:00:00, rashi.dinu94@iitb.ac.in, 9912242930, 2021, 2, 9.82, 10, 5, 9, NULL, NULL
210000128, jnAADZYczz7o2Vta, Neelu Naqvi, F, 1995-04-14 00:00:00, neelu.naqvi48@iitb.ac.in, 7745096019, 2021, 2, 6.84, 18, 6, 9, NULL, NULL
200000129, TS31HdxhcwZQqBkf, Mukund Madaan, F, 1995-04-07 00:00:00, mukund.madaan80@iitb.ac.in, 9974215522, 2020, 3, 6.33, 16, 4, 7, NULL, NULL
190000130, qq97RDUl0Ko6zBe6, Jami Sen, M, 2001-07-05 00:00:00, jami.sen97@iitb.ac.in, 9233894893, 2019, 4, 6.46, 26, 1, 1, NULL, NULL
170000131, RLcQrJPgWcpK5ebR, Anubha Joseph, M, 1997-03-12 00:00:00, anubha.joseph82@iitb.ac.in, 8597852679, 2017, 6, 8.22, 14, 16, 12, NULL, NULL
210000132, OlKq3hvJZhtj9JlS, Prajal Priya, F, 1994-10-13 00:00:00, prajal.priya86@iitb.ac.in, 9709870618, 2021, 2, 8.11, 12, 14, 10, NULL, NULL
180000133, QHoafQb9i8TnLJd6, Sadiq Lamba, M, 1999-07-05 00:00:00, sadiq.lamba53@iitb.ac.in, 7535851564, 2018, 5, 8.11, 10, 5, 2, NULL, NULL
210000134, gedst3wpEP4Zoe3S, Sawan Machhan, M, 1996-08-05 00:00:00, sawan.machhan9@iitb.ac.in, 8145895186, 2021, 2, 6.69, 2, 5, 10, NULL, NULL
200000135, JUq1OyTyr0fHRGjy, Hariharan Dasila, M, 1993-10-25 00:00:00, hariharan.dasila94@iitb.ac.in, 7173452194, 2020, 3, 6.33, 30, 24, 7, NULL, NULL
190000136, cSc0xeyRZRHEngp6, Deepa Bhatt, M, 2000-11-05 00:00:00, deepa.bhatt62@iitb.ac.in, 7051878586, 2019, 4, 8.06, 16, 17, 4, NULL, NULL
