company_id, company_name, company_origin, company_coordinator
106, FAST RETAILING CO., LTD., United States, 6
107, FCS Limited, Japan, 7
108, FIITJEE LTD, India, 8
109, FinIQ Consulting, South Korea, 9
110, FinMechanics India Pvt Ltd, India, 10
111, First Principle Labs Pvt Ltd, Hong Kong, 11
112, FIS, India, 12
113, Fiserv India Pvt Ltd, India, 13
114, Flipkart, India, 14
115, Flow Traders, India, 15
116, FlyFin, Japan, 16
117, FN Mathlogic Consulting Services Pvt Ltd, India, 17
118, FSG Advisory Services Pvt Ltd, India, 18
119, Fuji Electric India Pvt Ltd, India, 19
120, Fujitsu Research and Development India, India, 20
121, Fundwave, India, 1
122, Futures First, India, 2
123, Games24x7 Pvt Ltd, Japan, 3
124, General Electric Bangalore, South Korea, 4
125, General Mills, India, 5
126, Genpact Pvt Ltd, India, 6
127, Glean, India, 7
128, Goldman Sachs, India, 8
129, Google India Pvt Ltd, India, 9
130, Graphene, India, 10
131, Graviton Research Capital LLP, South Korea, 11
132, Groupon Shared Services Private Limited, India, 12
133, Groww, India, 13
134, GulfTalent, India, 14
135, HCL Technologies Ltd, India, 15
136, HDFC Life Insurance, India, 16
137, Helium Consulting, India, 17
138, HERE Technologies, Hong Kong, 18
139, HFCL, Japan, 19
140, HiLabs Inc., India, 20
141, Hilti Technology Solutions India, India, 1
142, Hind Rectifiers Ltd, India, 2
143, Hindustan Unilever Limited, India, 3
144, Hitachi India Pvt Ltd, India, 4
145, HOC India Private Limited, India, 5
146, Honda R&D, India, 6
147, Honeywell, India, 7
148, HSBC Bangalore, India, 8
149, Huawei Technologies, India, 9
150, i3Systems, Hong Kong, 10
151, IBM India, India, 11
152, ICF Consulting, United States, 12
153, ICICI Lombard GIC Ltd, United States, 13
154, Idam Infrastructure Advisory Pvt Ltd, India, 14
155, IDFC First Bank, India, 15
156, IFM Engineering Private Limited, India, 16
157, Ikigai Labs, Inc., India, 17
158, Impact Analytics, India, 18
159, Indeed, India, 19
160, Indian Political Action Committee (I-PAC), India, 20
161, IndianOil Total Pvt Ltd, India, 1
162, Indus Insights, India, 2
163, Infogen Labs, India, 3
164, Infosys Ltd, India, 4
165, Infurnia Technologies, United States, 5
166, Ingram Micro Inc, India, 6
167, Innominds Software Pvt Ltd, India, 7
168, Intel, India, 8
169, Invygo, India, 9
170, iRageCapital Advisory Pvt Ltd, India, 10
171, Itiviti India Pvt Ltd, United States, 11
172, Jaguar Land Rover India Limited, United States, 12
173, Jaro Education, India, 13
174, Javis Technologies Pvt Ltd, Japan, 14
175, Jay Chemicals, India, 15
176, Jaymahesh Auto Mall India Limited, India, 16
177, John Deere India Pvt Ltd, India, 17
178, Johnson controls, India, 18
179, Josh Technology Group, India, 19
180, JP Morgan Chase & Co, India, 20
181, JSR Dynamics Private Limited, India, 1
182, Kanan Park Technologies LLP, India, 2
183, Karza, India, 3
184, Kearney, India, 4
185, Kepler Cannon, India, 5
186, KLA Tencor, India, 6
187, Komprise India Private Limited, India, 7
188, Kotak Securities, India, 8
189, krista software inc, India, 9
190, Kubric (now Mason), India, 10
191, Kylas, India, 11
192, L.E.K. Consulting India Pvt Ltd, India, 12
193, Lambda Supply Chain Solutions Pvt Ltd, India, 13
194, Legato Health Technologies, India, 14
195, Leo Burnett, India, 15
196, Linecraft AI Ltd, India, 16
197, LinkStaff, India, 17
198, Logixal Cloud Solutions, India, 18
199, Lowe's India Pvt Ltd, India, 19
200, Mace Group, India, 20
201, MAQ Software, Japan, 1
202, Mastercard, India, 2
203, Mathworks India Private Limited, India, 3
204, Matrimony.com, India, 4
205, Mavenir Systems Private Ltd India, India, 5
206, Maverick Derivatives, United States, 6
207, McKinley & Rice, India, 7
208, McKinsey & Company, India, 8
209, McKinsey Knowledge Center, India, 9
210, Media.Net, India, 10
211, Mediatek Tech Ltd, South Korea, 11
212, MediBuddy, India, 12
213, Meesho, India, 13
214, Meghe Group, India, 14
215, Menon & Menon Limited, India, 15
216, Mentor Graphics - A Siemens Business, India, 16
217, Mercedes Benz, India, 17
218, Merilytics, India, 18
219, Micron Technologies Operation India LLP, Japan, 19
220, Microsoft India Pvt Ltd, India, 20
221, Millennium Management, India, 1
222, MindTickle, India, 2
223, Morgan Stanley, India, 3
224, MRF LIMITED, India, 4
225, Mu Sigma, India, 5
226, Murata Manufacturing Co. Ltd, United States, 6
227, MX Player, India, 7
228, Myntra, India, 8
229, Napcloud India Pvt Ltd, United States, 9
230, Nation with Namo, India, 10
231, Navi Technologies Pvt Ltd, Hong Kong, 11
232, NEC, India, 12
233, Netcracker Technology, India, 13
234, Newzera, India, 14
235, Niyo Solutions Inc, India, 15
236, NK Securities, Hong Kong, 16
237, NoBroker Technologies, India, 17
238, NTT Data Services Pvt Ltd, India, 18
239, Numadic, India, 19
240, NVIDIA, India, 20
241, NXP Semiconductors, India, 1
242, O9 solutions, India, 2
243, OLA, India, 3
244, OLX, India, 4
245, One97 Communications Ltd (Paytm), Japan, 5
246, Oneshot.AI, India, 6
247, OPPO Mobiles India Pvt Ltd (parent company of OnePlus), India, 7
248, Optym, India, 8
249, Oracle, India, 9
250, Orbees Business Solutions, India, 10
251, ORMAE LLP, India, 11
252, Pandit Deendayal Petroleum University, India, 12
253, Paperpedia Pvt Ltd, South Korea, 13
254, PayPal India, India, 14
255, Pepperfry, India, 15
256, Perceptive Analytics, India, 16
257, Phable Care, India, 17
258, Pingahla Solutions Private Limited, South Korea, 18
259, Piramal, India, 19
260, Plutus Research Private Limited, Japan, 20
261, Praxis Global Alliance, India, 1
262, PricewaterhouseCoopers Service Delivery Center (Bangalore) Pvt Ltd - MC Analytics, India, 2
263, Pristine Retail Solutions Private Limited, India, 3
264, Property Pistol Realty Pvt Ltd, India, 4
265, Quadeye (QE Securities LLP), India, 5
266, Qualcomm, India, 6
267, QuantBox Research Pvt Ltd, India, 7
268, Quasistatics Inc (10xAR), Japan, 8
269, Quicksell, India, 9
270, QuillBot, India, 10
271, Quintics Management Consultancies Pvt Ltd (Sutra Management), India, 11
272, Rakuten Main, India, 12
273, Rakuten Mobile, India, 13
274, Rakuten Securities, India, 14
275, Rambus Chip Technologies, South Korea, 15
276, Razorpay, India, 16
277, Rebel Foods, India, 17
278, Reliance Industries Limited, India, 18
279, Reliance Jio, India, 19
280, Ria Insure, India, 20
281, Richpanel, India, 1
282, Rippling, South Korea, 2
283, Robert Bosch Engineering and Business Solutions Private Limited, India, 3
284, Rupeek Fintech Pvt Ltd, India, 4
285, Saavn Media Limited, United States, 5
286, Safe Security, India, 6
287, Samsung Delhi, India, 7
288, Samsung Semiconductor, India, 8
289, Sandvine, India, 9
290, SAP Labs India, India, 10
291, Schlumberger, India, 11
292, Searce Cosourcing Services Private Limited (Searce), India, 12
293, Sedemac Mechatronics Pvt Ltd, India, 13
294, Seimens Healthineers, India, 14
295, Selec Controls Pvt Ltd, India, 15
296, ShareChat, India, 16
297, Shell India Markets Private Limited, India, 17
298, Siemens Ltd, India, 18
299, Sigmoid Analytics, India, 19
300, Silabs India Private Limited (Silicon Labs company), India, 20
301, Skeps, India, 1
302, Slice, Japan, 2
303, Snapwiz Edutec India Private Limited, India, 3
304, Sony Japan, India, 4
305, spacexview.earth, India, 5
306, SPECTRUM Techno Consultants Pvt Ltd, India, 6
307, Sprinklr, India, 7
308, Standard Chartered GBS, India, 8
309, Steradian Semiconductors, India, 9
310, Stride.AI, India, 10
311, Subedar Inderjit Singh Medico Valley Foundation, India, 11
312, Sulzer India Pvt Ltd (Chemtech Division), India, 12
313, Swiggy, India, 13
314, Synergy Marine Group, Japan, 14
315, Sysmex Corporation, India, 15
316, Taiwan Semiconductor Manufacturing Company, India, 16
317, Tata Consultancy Services, India, 17
318, TATA Projects, India, 18
319, Tata Unistore Limited, Japan, 19
320, TCS CSR, India, 20
321, Teachmint, India, 1
322, Technoforte Software Pvt Ltd, India, 2
323, Teradata, India, 3
324, Testbook, India, 4
325, Texas Instruments, India, 5
326, The ICFAI University Tripura, India, 6
327, ThirdAI Corp, India, 7
328, ThreeSides corporation, India, 8
329, Times Internet, India, 9
330, Toddle Pvt Ltd, Japan, 10
331, Trantor Software Private Limited, India, 11
332, Trident Analytical Solutions Pvt Ltd, India, 12
333, Trilogy Innovations, India, 13
334, True North, India, 14
335, Truminds Software Systems, India, 15
336, Tvarit GmbH, Japan, 16
337, Uber India Systems Pvt LTD, India, 17
338, Ubisoft, United States, 18
339, Udaan, India, 19
340, UiPath, Japan, 20
341, Unacademy, India, 1
342, Uniorbit Technologies Private Limited, India, 2
343, Unistring Tech Solutions Private Limited, India, 3
344, Uolo EdTech Pvt Ltd, India, 4
345, UPL Ltd, Hong Kong, 5
346, Upstox, India, 6
347, Vamstar, India, 7
348, Vantage Research, India, 8
349, Vimaan Robotics India Private Limited, India, 9
350, Virohan, India, 10
351, VMware, India, 11
352, Vvf India Ltd, India, 12
353, Walmart Global Tech India, South Korea, 13
354, WCB Robotics India Pvt Ltd, India, 14
355, Wells Fargo, India, 15
356, WinZO Games, India, 16
357, Wipro, India, 17
358, World Wide Technology, India, 18
359, WorldQuant Research (India) Private Limited, India, 19
360, Xilinx India Technology Services Pvt Ltd, India, 20
361, Zoomifier Corporation, United States, 1
362, ZS Associates, India, 2
